azimuth,recoverable,first_failure
0,0.025,0.03
22.5,0.03,0.0325
45,0.04,0.045
67.5,0.03,0.0325
90,0.025,0.03
112.5,0.03,0.0325
135,0.04,0.045
157.5,0.03,0.0325
180,0,0.005
202.5,0,0.005
225,0,0.005
247.5,0,0.005
270,0,0.005
292.5,0,0.005
315,0,0.005
337.5,0,0.005
360,0.025,0.03
