azimuth,recoverable,first_failure
0,0.0325,0.035
22.5,0.035,0.04
45,0.045,0.0475
67.5,0.035,0.04
90,0.0325,0.035
112.5,0.035,0.04
135,0.045,0.0475
157.5,0.035,0.04
180,0.0325,0.035
202.5,0.035,0.04
225,0.045,0.0475
247.5,0.035,0.04
270,0.0325,0.035
292.5,0.035,0.04
315,0.045,0.0475
337.5,0.035,0.04
360,0.0325,0.035
