elevation,rec_min,rec_max,rec_mean,ff_min,ff_max,ff_mean
-90,0.1375,0.1375,0.1375,0.14,0.14,0.14
-27,0.025,0.035,0.0275,0.03,0.04,0.0325
0,0.025,0.035,0.0275,0.03,0.04,0.0325
27,0.025,0.035,0.0275,0.03,0.04,0.0325
90,0.1525,0.1525,0.1525,0.155,0.155,0.155
