case,mass_multiplier,mass_kg,z_error_max_m,z_error_rms_m,horiz_offset_max_m,horiz_offset_rms_m,tilt_max_rad,tilt_rms_rad,ang_rate_max_radps,ang_rate_rms_radps
min,0.171999999999999,0.01032,0.00395914935835754,0.00238177168885058,0.000496028229604264,0.000277706082641639,0.0124450915960506,0.00687753006156135,3.12141165710524,1.46058306305998
nominal,1,0.06,0.0005,5.12580396313138e-05,0.000201069594743365,2.83006862509257e-05,0.00449458393085882,0.000525963494138657,0.667108649702197,0.0373231980952011
max,2.99999999999978,0.179999999999987,0.00641080299071524,0.00395804609847357,0.0001654153316661,2.94968295630049e-05,0.00331076158233415,0.000430025788774267,0.634296936927476,0.03779048771723
