Time,x,y,z,z_ref,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,u1,u2,u3,u4,status,dt_ms
0,0.25,-0.4,30.6191833390181,30.1191833390181,0.429718346348117,-0.286478897565412,0.859436692696235,0.5,-0.5,0,0.572957795130823,-0.859436692696235,0,-0.999999999999497,0.99999999999993,0.999999999999944,-0.253343342137941,0,30.0794
10,0.214086578529882,-0.411259076847581,30.4998567541325,30.1191833390181,0.466235958405071,0.00617400290030749,0.860523529265607,-7.38008066895121,-1.81017937066196,-23.1003534815736,-0.678560833447855,-637.183416884487,-2.45056720386637,0.651089811477803,0.999999999999999,-1,-1,0,20.4842
20,0.221669363854186,-0.410543048748818,30.2246952880945,30.1191833390181,0.486049875626054,0.47663546482202,0.865893498401145,9.75218637166904,1.98876640621377,-30.1546527164599,46.7208451876014,-372.553053032698,-1.2548736194536,-0.999999999999577,0.999999999999227,0.19521800192913,-0.999999999999657,0,20.4577
30,0.305588176691647,-0.370707220871593,29.9557062321058,30.1191833390181,0.417649520279005,0.701482831141655,0.871271645731974,7.71194386314327,6.26070230374361,-21.7717240239724,96.5883848672909,-41.8990148819079,0.0199509418592759,-0.999999999999995,0.999999999999965,0.999999999999993,-0.999999999999989,0,19.5361
40,0.351094994009318,-0.280063442685919,29.7894576395143,30.1191833390181,0.279834512263405,0.677398262002826,0.876540765064509,1.44918129183288,12.4309388349538,-10.315158260985,99.8360030565841,243.452856109211,0.952500330861794,-1,0.51312431301893,1,-1,0,35.961
50,0.339760952372951,-0.13082851677417,29.782017649476,30.1191833390181,0.0960050064007667,0.483553432727533,0.88254896591538,-4.24027356377263,18.2317260731353,8.84067524693418,64.9116148173037,414.188471920088,1.17017087883165,-1,-0.999999999999995,1,-0.999999999999997,0,23.2534
60,0.269679457747619,0.0409076064827062,30.0114020627207,30.1191833390181,-0.0962024071106342,0.187996375796889,0.893572959308381,-10.6791484914707,16.9852773162355,35.337807035101,31.4717969944996,393.16996034731,0.831111747835778,-0.999999999999986,-0.999999999999411,0.999999999999984,0.41386225433449,0,22.4146
70,0.122020676232584,0.169634147069841,30.3871871992441,30.1191833390181,-0.246043251493115,-0.1155554163981,0.909260838275034,-19.8326148085799,9.41032127758644,37.2434106398138,10.1111370840508,102.494253215466,1.17796178590469,-0.223815324395954,-0.999999999999868,-0.99999999999987,0.564557465206404,0,22.3827
80,-0.0395705131271371,0.232653015830485,30.7463375713615,30.1191833390181,-0.305724326816785,-0.246635590222819,0.923937284109999,-13.2225618681117,3.49322936871083,32.2704126099915,-15.5809926494617,-104.56109457095,1.70503740368748,0.999999999999999,-0.999999980608268,-0.999999999999999,0.43635839258762,0,20.2324
90,-0.112049365047308,0.246954279098717,30.9540221911947,30.1191833390181,-0.292934247892769,-0.190091110513325,0.938298761073293,-1.45917396902881,-0.588353177774486,8.00032516005642,-18.1577390175502,-105.912383537044,1.71084375979198,0.439909158995435,-0.620243121684652,-0.90907667316049,0.476034352980684,0,19.3892
