elevation,rec_min,rec_max,rec_mean,ff_min,ff_max,ff_mean
-90,0.035,0.035,0.035,0.04,0.04,0.04
-27,0.0225,0.035,0.02890625,0.025,0.04,0.0321875
0,0.0225,0.0325,0.0259375,0.025,0.035,0.0303125
27,0.025,0.035,0.02828125,0.03,0.04,0.03203125
90,0.04,0.04,0.04,0.045,0.045,0.045
