Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0.26,-0.000145351,3.51E-05,0.030746644,-0.000828651,-0.002288511,2.36E-06,0.002874247,-8.45E-06,-0.011026771,0.456911865,0.901638634,0.000163641,0.030119179,-0.329162598,-0.175976098,-0.081943959,-0.242120758,0.748
0.27,-0.000151456,4.40E-05,0.030687269,-0.001049609,-0.002639356,1.96E-06,-0.004165112,0.001852537,-0.000349404,-0.281328571,-0.402447834,-0.000174481,0.030119179,0.606947124,-0.100218832,-0.578788936,0.450962812,0.748
0.28,-0.000163816,4.45E-05,0.030683665,-0.001003444,-0.003034357,3.22E-06,0.001601235,-0.001757298,-0.000339756,0.176273778,0.815276034,-0.000153686,0.030119179,0.064608343,-0.021164425,-0.195982546,-0.127898052,0.748
0.29,-0.000161942,3.87E-05,0.030711583,-0.000745626,-0.003331582,1.59E-06,-0.001247561,0.0005447,0.005689641,-0.504564722,-0.188978625,-0.000843613,0.030119179,0.547039151,0.074162871,-0.285677433,0.374256849,0.748
0.3,-0.000162359,3.68E-05,0.030741496,-0.000425485,-0.003175659,1.76E-06,0.001178559,-0.000965868,4.69E-05,-0.038062409,-0.127456769,-3.65E-05,0.030119179,0.075231463,-0.046865299,-0.288888544,0.234453648,0.748
0.31,-0.000159941,1.93E-05,0.030747188,-0.000396367,-0.002728083,1.04E-06,-0.00063974,-0.002607589,0.001043763,0.459386703,-0.638938745,0.000823863,0.030119179,0.521713495,0.327545494,-0.404170662,-0.123540513,0.748
0.32,-0.000149435,1.66E-05,0.03074457,-0.00027567,-0.00245309,2.53E-06,0.002812775,0.002046742,-0.001546042,-0.603107903,0.404473539,-0.000869998,0.030119179,0.092284545,-0.267316908,-0.048817746,0.327106416,0.748
0.33,-0.000138129,1.27E-05,0.030728611,-0.000187176,-0.002424474,3.10E-06,-0.000503267,-0.002870825,-0.001512985,0.540021266,-0.141619957,0.000732142,0.030119179,0.237693533,0.406177759,-0.210883796,-0.225671589,0.748
0.34,-0.000145297,1.48E-05,0.030711918,-0.000138392,-0.002411296,3.78E-06,-0.000959575,0.003308559,-0.001687567,-0.707299203,-0.075060181,-0.000926889,0.030119179,0.367513955,-0.221731409,-0.212827921,0.562632978,0.748
0.35,-0.000152033,1.46E-05,0.030683991,-0.000215696,-0.002601248,4.55E-06,-0.00043591,-0.003347553,-0.003666345,0.855654087,0.257694415,0.001188958,0.030119179,0.224796385,0.242919758,-0.258409739,-0.371635735,0.748
0.36,-0.000159132,1.12E-05,0.03067586,-0.000345345,-0.002914207,2.77E-06,-0.001046645,0.002669673,0.002108246,-0.510512268,0.152381078,-0.000841606,0.030119179,0.439458817,-0.208873212,-0.353110522,0.324809015,0.748
0.37,-0.000158813,1.57E-05,0.030705574,-0.000317134,-0.003171978,4.08E-06,0.001085282,-0.001764421,0.003587675,0.3244401,0.33979955,0.00050551,0.030119179,-0.071257249,0.142027944,-0.210936695,-0.079264358,0.748
0.38,-0.000167485,1.03E-05,0.03076137,-0.00025453,-0.003044812,4.89E-06,-0.002837545,0.000653883,0.00710584,-0.28789842,-0.818831714,-0.000363633,0.030119179,0.705404222,0.208266571,-0.355794877,0.419010907,0.748
0.39,-0.000174878,8.90E-06,0.030780155,-0.000113679,-0.002889602,5.43E-06,0.001343712,-0.000944272,-0.003501484,0.0646571,0.327435625,8.40E-05,0.030119179,0.163710982,-0.05595943,-0.075327888,0.084112346,0.748
0.4,-0.000178656,-6.35E-06,0.030737087,-6.07E-05,-0.003030397,5.91E-06,-0.00213343,-0.002174832,-0.004757203,0.251057687,-0.154252614,0.000423845,0.030119179,0.478711605,0.170622587,-0.440248191,-0.184508249,0.748
0.41,-0.000187244,-1.33E-05,0.030697743,0.000189491,-0.003335637,6.07E-06,0.000347869,0.000728551,-0.002783097,-0.542694463,0.520130744,-0.000934004,0.030119179,0.365813076,-0.106568076,-0.2734074,0.113122344,0.748
0.42,-0.00018432,-1.83E-05,0.03068199,0.000502157,-0.00368411,7.51E-06,0.000212012,-0.001775192,-0.000235854,0.086195254,0.237574325,0.000240794,0.030119179,0.154407203,0.257666647,-0.430243313,-0.17117849,0.748
0.43,-0.000185079,-1.94E-05,0.030707256,0.000635277,-0.003619759,7.56E-06,-0.000358838,0.00153583,0.005077195,-0.308825185,-0.391912824,-0.000745984,0.030119179,0.439258188,0.164080918,-0.317725271,0.245565772,0.748
0.44,-0.000183821,-1.03E-05,0.030740966,0.000477556,-0.003226158,6.00E-06,0.000656944,0.000342943,0.001386559,0.36114933,-0.328642968,0.000554957,0.030119179,0.403088033,0.148793295,-0.296783656,-0.076671652,0.748
0.45,-0.000174501,2.31E-06,0.030749602,8.00E-06,-0.002921885,4.88E-06,0.001276601,0.002269056,0.000268581,0.171743158,0.013181393,0.000278167,0.030119179,0.077487528,0.065185286,-0.184916139,0.308304727,0.748
0.46,-0.000177842,1.48E-05,0.030741313,-0.000513038,-0.002811227,4.46E-06,-0.0019482,0.000336292,-0.001857544,0.464567988,-0.306560252,0.000804203,0.030119179,0.369458139,0.069884077,-0.438367784,-0.016778603,0.748
0.47,-0.000189748,2.48E-05,0.030729402,-0.00077461,-0.003080334,2.98E-06,-0.00051039,0.001736334,-0.000425919,-0.252183305,0.499013744,-0.000632671,0.030119179,0.21579054,-0.211076587,-0.438500792,0.349813342,0.748
0.48,-0.000195438,2.04E-05,0.030736675,-0.000707754,-0.003707223,4.79E-06,-0.000714316,-0.002644432,0.001820101,0.248967436,0.517856523,0.000307397,0.030119179,0.354282737,0.114046663,-0.221014112,-0.092897341,0.748
0.49,-0.000208161,5.86E-06,0.030751279,-0.000289077,-0.004095071,3.77E-06,-0.001921453,-0.000369911,0.000980183,-0.634724658,-0.144880873,-0.001396333,0.030119179,0.636483192,-0.022950552,-0.600519538,0.452616513,0.748
0.5,-0.000203932,-1.97E-05,0.030740681,0.000305282,-0.004127936,6.20E-06,0.002781574,-0.004899532,-0.003014832,0.216125312,0.324152008,0.000546017,0.030119179,0.320590585,0.430863649,-0.048134387,-0.510807574,0.748
0.51,-0.00019141,-2.92E-05,0.030708058,0.000971184,-0.003681986,6.64E-06,-0.000182072,0.002883048,-0.003235796,-1.227940497,-0.818608447,-0.002904541,0.030119179,0.522609234,-0.140663445,-0.432094306,0.716202557,0.748
0.52,-0.000179913,-4.47E-05,0.030658841,0.001199194,-0.002958221,-1.94E-07,0.002602826,-0.006077583,-0.006204074,1.272583867,-0.2162885,0.001932136,0.030119179,0.260651648,0.472593516,-0.277572274,-0.782554746,0.748
0.53,-0.000157431,-5.60E-05,0.030641871,0.000991895,-0.002531828,1.21E-06,0.002032619,0.003795749,0.002954885,-0.537819721,0.016396106,-0.000721243,0.030119179,0.370841891,-0.183933944,-0.158672452,0.287472069,0.748
0.54,-0.00013721,-4.83E-05,0.030681599,0.000801254,-0.002391752,1.53E-06,0.002111794,-0.002188521,0.004660306,0.684592466,0.271923935,0.00103039,0.030119179,-0.115648836,0.284059852,0.060325246,-0.28729403,0.748
0.55,-0.000146803,-5.23E-05,0.030745278,0.000680963,-0.002259706,3.80E-06,-0.004048801,0.001381104,0.007543484,-0.322236334,-0.784896267,-0.000673962,0.030119179,0.679312885,0.279089242,-0.529624403,0.440407395,0.748
0.56,-0.000156244,-5.42E-05,0.030777021,0.000829079,-0.00256832,5.65E-06,0.002089947,-0.001779869,-0.001452279,0.094523774,1.067180486,0.000635174,0.030119179,-0.169959664,0.085744031,0.022273555,-0.395404816,0.748
0.57,-0.00016947,-5.90E-05,0.030780754,0.00113724,-0.003116542,2.86E-06,-0.004844173,0.000763424,0.002165821,-0.530908813,-0.416219864,-0.001145601,0.030119179,0.706764042,0.209593564,-0.531697214,0.12837176,0.748
