Time,x,y,z,alpha,beta,gamma,vx,vy,vz,valpha,vbeta,vgamma,target_z,u1,u2,u3,u4,mass_multiplier
0.26,0.000140022,2.33E-05,0.029891165,-0.00067487,0.001503775,2.57E-05,-0.000617614,0.000948639,0.00109655,0.116235855,-0.085244431,-6.91E-05,0.030119179,-0.121803865,-0.03823778,0.212127984,0.185242891,1.152
0.27,0.000139339,2.84E-05,0.029870463,-0.000783362,0.001695392,2.63E-05,0.000501371,9.77E-05,-0.005109926,0.016291252,-0.578469176,0.000228015,0.030119179,-0.207765743,0.043852109,0.245572075,0.127632841,1.152
0.28,0.000146015,3.01E-05,0.029796064,-0.000742352,0.002215212,2.72E-05,0.000912997,0.000234035,-0.009311456,-0.226515778,-0.917643138,0.000641693,0.030119179,0.004197575,0.081247665,0.24365145,0.214890853,1.152
0.29,0.000165065,3.17E-05,0.029684046,-0.000610023,0.002893103,2.78E-05,0.003034836,8.65E-05,-0.012396794,-0.321294014,-0.671188835,0.000727125,0.030119179,-0.494629145,-0.210477591,0.448141307,0.200593501,1.152
0.3,0.000184541,2.25E-05,0.029584278,-0.000382493,0.003482066,2.55E-05,0.000988827,-0.001991991,-0.006919553,-0.067390551,-0.774260431,0.000284661,0.030119179,-0.319717348,0.273278862,0.507598221,0.113730282,1.152
0.31,0.000189029,1.02E-05,0.029532493,-0.000149782,0.003832375,2.63E-05,-2.77E-05,-0.000524788,-0.003104997,-0.243168467,-0.5616133,0.000550033,0.030119179,-0.250950158,0.005579423,0.388273507,0.123520091,1.152
0.32,0.000190282,1.98E-06,0.02953653,4.19E-05,0.003983174,2.66E-05,0.000303879,-0.001167132,0.003886343,-0.133100438,-0.050837039,0.000283453,0.030119179,-0.316565245,0.268874913,0.501287162,-0.023355942,1.152
0.33,0.000189003,3.61E-07,0.029599865,0.000166139,0.003916454,2.69E-05,-0.000575101,0.000819888,0.008375266,-0.301144342,0.344547914,0.000670961,0.030119179,-0.393095762,0.000581197,0.231457874,-0.111043036,1.152
0.34,0.000185353,1.29E-05,0.029717478,0.000137684,0.003598267,2.82E-05,-0.000212795,0.001726509,0.014396814,-0.236097452,0.839054011,0.000521666,0.030119179,-0.572106838,-0.271422923,0.366892695,0.275001824,1.152
0.35,0.000174244,1.38E-05,0.02986801,2.76E-05,0.003035001,3.32E-05,-0.002106321,-0.00152157,0.01476947,0.529964949,0.754029612,-0.000875502,0.030119179,-0.266370893,-0.098829433,0.196279049,-0.199399069,1.152
0.36,0.000158306,2.92E-06,0.03000028,-0.000142715,0.002348177,3.29E-05,-0.001202298,-0.000675294,0.010876089,0.45564645,0.781453278,-0.000652338,0.030119179,-0.347128123,-0.149446025,0.255919635,-0.079471648,1.152
