time_ms,z_mm,horiz_offset_mm,tilt_mag_deg,ang_rate_mag_deg_per_s
0.0,30.6191833390181,0.14142135623731,0.0,0.0
5.0,30.598551485742,0.152571052673226,0.09555627526151773,38.222510104607146
10.0,30.5399606426497,0.17622230681524298,0.22313019254996377,12.80707923800255
15.0,30.452754219179702,0.195069363401387,0.2575206899055298,0.9494291567160381
20.0,30.3491977772784,0.201069594743365,0.24978874175398705,4.041957135925898
25.0,30.241293196645,0.19534824146848,0.22515557036555917,5.8113613119451415
30.0,30.1397048667059,0.181524547595732,0.1954094948302196,6.087085368068658
35.0,30.0529797650015,0.16318216276443598,0.16593854141133993,5.7013025796380905
40.0,29.9869963153719,0.143099924198411,0.13903556774590253,5.059889714478293
45.0,29.9447279919972,0.12316354609230899,0.11548758516724893,4.359304590562709
50.0,29.926349270468002,0.104510702420213,0.09536309401287783,3.6904924624224753
55.0,29.929642599716598,0.087728092208749,0.07840991547172305,3.090779230732349
60.0,29.950615098265,0.0730313876585357,0.06425623636364995,2.5706925386210093
65.0,29.984211922589598,0.0604066327194414,0.052509323989968486,2.1280724638272535
70.0,30.0250186476036,0.0497116188167539,0.04280052430173977,1.7554474299585763
75.0,30.0678695950096,0.0407434290471769,0.03480251483276598,1.4437563618337594
80.0,30.1083118610458,0.0332803664431936,0.028232884332654154,1.1840958388352356
85.0,30.142906219494897,0.0271059603326592,0.0228515669706861,0.9684311084794398
90.0,30.169370359583898,0.0220212457399355,0.0184560063123498,0.7897931617102745
95.0,30.1865853625783,0.017849845899565,0.014875913313674384,0.6422440495382197
100.0,30.1944940133592,0.0144389358964554,0.011968413615965033,0.5207558457742166
105.0,30.1939217679803,0.0116580515257312,0.009613841779160885,0.4210729085891014
110.0,30.1863502201478,0.00939692407966234,0.007712192656205439,0.33958676238796726
115.0,30.1736703421307,0.00756300668314226,0.006180144395720038,0.27323256450241995
120.0,30.1579394474571,0.00607903825350765,0.004948546207184598,0.21940673341071074
125.0,30.141161957324,0.00488080387093993,0.0039602750817741336,0.17590173818906601
130.0,30.1251095819406,0.003915147400433809,0.003168387322650647,0.14085338522672153
135.0,30.111191397543298,0.0031382402670617,0.0025345124119211305,0.11269659680587536
140.0,30.100378668323003,0.00251408748874765,0.002027453993019924,0.09012678632655786
145.0,30.0931835562838,0.00201324474679811,0.0016219744494673247,0.07206504451811917
150.0,30.0896856880892,0.0016117202805918602,0.0012977462378830392,0.057626251523366305
155.0,30.0895965220812,0.00129003817047324,0.0010384560412413225,0.046089836722922384
160.0,30.092349026479898,0.00103244281375095,0.0008310483753509348,0.036873237630413815
165.0,30.0971995000608,0.0008262271443021651,0.0006650947636202807,0.02950821369408895
170.0,30.1033292921759,0.000661169184471023,0.0005322739187712573,0.023620129725631357
175.0,30.1099363261399,0.000529062984853246,0.00042594808638847666,0.018910207745117327
180.0,30.116309197244,0.000423331142498286,0.0003408210232684249,0.015140621221708804
185.0,30.1218797053389,0.000338707101874347,0.00027266398928779033,0.012122195428711601
190.0,30.1262525839163,0.000270976466516813,0.0002180974771356429,0.009704411944805202
195.0,30.129213626482,0.000216767632443788,0.00017441798636997006,0.007767386423846544
200.0,30.130719242423098,0.000173383188579631,0.0001394607996257464,0.006215489964475451
205.0,30.130871660868802,0.000138664675380936,0.00011149130102453368,0.00497231085964331
210.0,30.1298845773226,0.000110884403050356,8.911880168954984e-05,0.0039766900045686854
215.0,30.128044081654497,8.865906413904681e-05,7.1228067208151e-05,0.003179604709160412
220.0,30.1256693159999,7.088080379283039e-05,5.692476566704681e-05,0.002541716656250521
225.0,30.123076594805802,5.66622199772235e-05,4.5491881321591155e-05,0.0020314376894448104
230.0,30.1205497873153,4.5292453209145904e-05,3.635479769389183e-05,0.0016233962531875994
235.0,30.1183187250721,3.62020963295403e-05,2.9053264664160767e-05,0.0012972173555079313
240.0,30.1165463583018,2.89351209071377e-05,2.3218855129570683e-05,0.001036546778023536
245.0,30.115324438850898,2.3126391975849e-05,1.85568206755963e-05,0.0008282672606836344
250.0,30.1146767290516,1.84836412873044e-05,1.4831485707054946e-05,0.0006618669332315088
255.0,30.114568176223802,1.47730047645192e-05,1.1854494652238615e-05,0.0005289296543297306
260.0,30.114918174173,1.18074148372254e-05,9.475363107458323e-06,0.0004227230963444455
265.0,30.1156159505442,9.43728343185727e-06,7.573890321909213e-06,0.00033786612425166406
270.0,30.1165362427217,7.5430252613237196e-06,6.05407528800069e-06,0.0002700599744940053
275.0,30.117553708292398,6.02906070862908e-06,4.83924512995866e-06,0.00021587215694288844
280.0,30.1185549030914,4.819008504407111e-06,3.8681584768397e-06,0.00017256255894092096
285.0,30.119447093685,3.85183494263279e-06,3.091892486610935e-06,0.00013794388090066816
290.0,30.1201636005815,3.07877161191531e-06,2.471358031486218e-06,0.00011026993621115982
295.0,30.1206657523119,2.46084999510784e-06,1.975317380351516e-06,8.814635233891722e-05
300.0,30.120941839921,1.96693064670028e-06,1.5788027470370286e-06,7.045952349408141e-05
305.0,30.1210036801409,1.5721284579312701e-06,1.2618546283341645e-06,5.631974201577798e-05
310.0,30.120881518973,1.25655484713117e-06,1.008515790919368e-06,4.501580735676861e-05
315.0,30.1206180406678,1.00431323976638e-06,8.060276054439272e-07,3.597947837019471e-05
320.0,30.120262202606302,8.02696887479778e-07,6.441886284583299e-07,2.875612167563892e-05
325.0,30.119863511714602,6.41548240786791e-07,5.148423368080331e-07,2.298240237954622e-05
330.0,30.1194672126927,5.12747254819899e-07,4.1146730127215287e-07,1.8367617750092263e-05
335.0,30.1191106928291,4.09802604776147e-07,3.2884997981444977e-07,1.4679315609198957e-05
340.0,30.1188212413687,3.27525030748199e-07,2.6282254898877576e-07,1.173166053506936e-05
345.0,30.118615149265697,2.61766268371983e-07,2.1005375046177828e-07,9.375861905304768e-06
350.0,30.1184980097077,2.09210332336312e-07,1.678811522032119e-07,7.49317982069912e-06
355.0,30.118465988609298,1.6720661574779603e-07,1.3417652685413987e-07,5.988672233571467e-06
360.0,30.118507780406997,1.33636482649127e-07,1.0723914887185487e-07,4.78628048177665e-06
365.0,30.1186069469038,1.0680659951220499e-07,8.571014131928788e-08,3.825323776370667e-06
370.0,30.1187443512494,8.53635911264788e-08,6.85034709776104e-08,3.057345350229377e-06
375.0,30.118900438636,6.82258059872769e-08,5.475130351984192e-08,2.4435224012641458e-06
380.0,30.1190571719069,5.45287771174764e-08,4.375984942686576e-08,1.953059845181163e-06
385.0,30.119199495659498,4.35816375732787e-08,3.4974800314980924e-08,1.5609603108777732e-06
390.0,30.1193162688128,3.48322692497637e-08,2.7953469239987624e-08,1.2475725342856481e-06
395.0,30.119400666481702,2.78394117989945e-08,2.2341646198691505e-08,9.971569961621283e-07
400.0,30.119450102463098,2.2250404009299403e-08,1.7856299523937134e-08,7.969819164348191e-07
405.0,30.1194657606686,1.77834099716629e-08,1.4271344774919938e-08,6.370002027350895e-07
410.0,30.1194518461779,1.42131862153259e-08,1.1406183414575508e-08,5.090644927763548e-07
415.0,30.119414674616998,1.13597008753616e-08,9.116220598342262e-09,4.069207552339371e-07
420.0,30.1193617139316,9.07906398479629e-09,7.285830829308024e-09,3.252352596174789e-07
425.0,30.1193006779243,7.2562870827117e-09,5.822947697077055e-09,2.5991806310779683e-07
430.0,30.1192387492366,5.79946958923085e-09,4.653877938949699e-09,2.077099332016088e-07
435.0,30.1191819840243,4.6351490553238405e-09,3.719593559873488e-09,1.6600390571603523e-07
440.0,30.1191349244549,3.7045994056092602e-09,2.9728851367706794e-09,1.3267951485708805e-07
445.0,30.1191004209335,2.96088208732783e-09,2.3760700672481212e-09,1.0604656259022486e-07
450.0,30.1190796456479,2.36648534546054e-09,1.899081133131618e-09,8.474905686812929e-08
455.0,30.119072263875402,1.89143060119246e-09,1.5178352292957482e-09,6.774933141197485e-08
460.0,30.1190767201076,1.51175770686404e-09,1.2132249915432344e-09,5.40947717393906e-08
465.0,30.119090592334302,1.20830441684873e-09,9.698877646023545e-10,4.324018161648636e-08
470.0,30.1191109691993,9.657470165432979e-10,7.751898807026044e-10,3.463904999769632e-08
475.0,30.119134810194797,7.71851060536572e-10,6.194875730514845e-10,2.764189075434985e-08
480.0,30.1191592574051,6.168545333265501e-10,4.9510852922619e-10,2.2109740990683846e-08
485.0,30.1191818772408,4.92955921995031e-10,3.9559257274570403e-10,1.7696663043434197e-08
490.0,30.1192008209243,3.93920227517616e-10,3.1605250846035794e-10,1.41193810699623e-08
495.0,30.11921490213,3.1476784005516295e-10,2.524638945552318e-10,1.1316076475451216e-08
500.0,30.1192235983547,2.5151782056858403e-10,2.0169276117918504e-10,8.992380673040246e-09
505.0,30.119226988755102,2.0098382784112401e-10,1.6122969950804403e-10,7.193007280674849e-09
510.0,30.1192256450997,1.6060194917976e-10,1.289454106146679e-10,5.720910894105252e-09
515.0,30.119220494142297,1.28312202297144e-10,1.0305559398817456e-10,4.635035240924818e-09
520.0,30.1192126693624,1.02484581144864e-10,8.218007106544903e-11,3.7152154998554834e-09
